label,y,d,learner,theta,se,t,p,n
基准 5 个控制,lnexport,dstoi,rf,1.6913448925389167,1.2295739380104387,1.375553628987668,0.1689598714567162,480
+ 制度质量 (inst_d1),lnexport,dstoi,rf,1.686110746501529,1.2172754409232083,1.3851513715110737,0.16600618650542298,480
+ 研发支出 (re_d1),lnexport,dstoi,rf,2.1184439488752274,1.3049852351774331,1.6233470630701747,0.10451523418054265,480
+ 技术指数 (techindex),lnexport,dstoi,rf,1.9783700549526726,1.3028234707441801,1.5185250338041703,0.12888209354412616,464
+ 数字化水平 (digit),lnexport,dstoi,rf,2.9511299965625057,1.2001374085356036,2.458993424897443,0.013932716947639534,429
+ 科研论文 (articles),lnexport,dstoi,rf,2.148638119988122,1.5129992906514915,1.420118392165886,0.1555732166450179,376
全部扩展 (含 PerData),lnexport,dstoi,rf,2.087274707729817,1.5025707628559446,1.3891357128249469,0.16479148586182113,376
CPTPP → 数字基础设施 (固定宽带),fixband_r,cptpp_post,rf,0.0005715086715027177,0.003634778461377889,0.15723342634919968,0.87506088551184,480
CPTPP → 技术创新 (专利),lnpatent,cptpp_post,rf,-0.013314302817825932,0.009375170524745681,-1.4201664687253364,0.15555922303056735,480
CPTPP → 技术水平指数,techindex_d1,cptpp_post,rf,-0.010155556590926327,0.01620703702688699,-0.6266140179774108,0.5309122772700767,464
CPTPP → AI 能力,AI_d3,cptpp_post,rf,0.00395836494005497,0.0014541533075132233,2.7221097800370506,0.00648665901973744,480
CPTPP → 数字化水平,digit_d1,cptpp_post,rf,0.018700838396717864,0.06715309732130896,0.2784806530552051,0.7806434145172496,440
CPTPP → 研发支出,re_d1,cptpp_post,rf,-5.876123613933537e-07,5.439098440023512e-05,-0.010803488259550853,0.9913802311917834,480
CPTPP → 跨境并购成功率,ma_success_rate,cptpp_post,rf,-0.02065020372401918,0.02251697692257242,-0.9170948566953555,0.3590929359966448,441
CPTPP → 全要素生产率,productivity_d1,cptpp_post,rf,1.4463207094551416,0.4501525894155453,3.212956547318697,0.001313761640560518,155
income=High income,lnexport,dstoi,rf,-0.5329524554269012,0.4179387181525673,-1.2751928267922488,0.202240999626623,296
income=Upper middle income,lnexport,dstoi,rf,4.132742092596378,1.5936371824007232,2.5932766493127617,0.009506626519310668,152
region=Europe,lnexport,dstoi,rf,1.7799420378507689,0.777056319825152,2.290621660797096,0.02198530503590468,232
region=Americas,lnexport,dstoi,rf,0.60944082849924,0.7736216629980905,0.7877763222625065,0.4308275531994643,104
region=Asia,lnexport,dstoi,rf,2.8812696681415915,1.522770702733404,1.8921231298774361,0.05847457722062921,120
金融主导经济体 (高),lnexport,dstoi,rf,-0.37663378257647795,0.8011011298202564,-0.47014511471352377,0.638251343799527,160
金融主导经济体 (低),lnexport,dstoi,rf,1.7846021757932289,1.218607747258381,1.4644598968029048,0.14306833278964715,320
教育-技术主导经济体 (高),lnexport,dstoi,rf,1.460783496727383,0.5940198257268269,2.459149397816827,0.01392666503144735,160
教育-技术主导经济体 (低),lnexport,dstoi,rf,1.9860225189456409,1.3180477360644671,1.5067910399631401,0.1318642269565129,320
数字基础设施主导经济体 (高),lnexport,dstoi,rf,0.40366686096542576,0.3324977345532222,1.2140439438116282,0.2247309440200671,160
数字基础设施主导经济体 (低),lnexport,dstoi,rf,1.6771836316796873,1.2026543830064154,1.3945682611549928,0.16314607165067074,320
初始高开放度国家,lnexport,dstoi,rf,-2.673233438108563,1.1921229803369595,-2.2424141487088525,0.024934618211859272,240
初始低开放度国家,lnexport,dstoi,rf,3.1219002063081813,1.3678406460078332,2.2823566585915764,0.022468291978716026,240
协定前 2014-2017,lnexport,dstoi,rf,-0.15341737050194287,0.4389107494377574,-0.3495411554592131,0.7266830792583534,240
协定后 2018-2021,lnexport,dstoi,rf,6.5105674068219725,4.523748259135384,1.4391975489958688,0.15009455964665208,240
COVID 前 2014-2019,lnexport,dstoi,rf,-0.01552670050675781,0.2805434372995995,-0.05534508543921649,0.955863544199119,360
COVID 期 2020-2021,lnexport,dstoi,rf,-0.39453887364508955,0.5848375883325789,-0.6746127155916106,0.4999218521970883,120
CPTPP → DSTOI,dstoi,cptpp_post,rf,0.02910272184028936,0.008088880683923078,3.5978676132696576,0.0003208368436244946,480
DSTOI → lnexport | CPTPP,lnexport,dstoi,rf,1.6790863034604226,1.2454538294833646,1.3481722595505095,0.1776029846386078,480
CPTPP → lnexport (直接 reduced form),lnexport,cptpp_post,rf,0.02644741565203158,0.062065944587749944,0.42611799156040797,0.670021870832739,480
