label,y,d,learner,theta,se,t,p,n,r2_l,r2_m
(1) Basic controls,lnvalue,DSTOI2,rf,0.03905198261159252,0.01694359528757325,2.3048226748094,0.021176506645875115,52326,0.2705892943530328,0.5651908759257915
(2) +quadratic terms,lnvalue,DSTOI2,rf,0.07120577525560665,0.026168601155484437,2.7210386536340816,0.006507715153999616,52326,0.29056010971087687,0.832641024482248
(3) Full controls,lnvalue,DSTOI2,rf,-0.10756262001735181,4.02201783382015,-0.026743446812414515,0.9786643599668086,29792,0.25907243932741686,0.9999869210052681
CPTPP -> exports (basic),lnvalue,cptpp_post,rf,-0.0012600582608512938,0.004925087121808604,-0.25584486724542893,0.7980706274972023,52326,0.2705892943530328,0.5080344176212384
CPTPP -> exports (full),lnvalue,cptpp_post,rf,0.28625681838553557,0.16994891747498644,1.6843697661543955,0.09211023001251983,29792,0.25907243932741686,0.9987734504424657
CPTPP -> DSTOI (basic),DSTOI2,cptpp_post,rf,0.021389410893078116,0.0006394529502361947,33.44954603020834,0.0,52326,0.5651908759257915,0.5080344176212384
CPTPP -> DSTOI (full),DSTOI2,cptpp_post,rf,0.002007438607218008,0.00037610724347169456,5.337410119220651,9.428361447127998e-08,29792,0.9999869210052681,0.9987734504424657
CPTPP -> broadband,Eictsper2,cptpp_post,rf,-0.001442494909516922,0.0004941458169969631,-2.9191685124105526,0.0035096644443568525,49258,0.31896525821214716,0.32313546877366406
Drop US/MX (dest),lnvalue,DSTOI2,rf,2.3243906460311736,6.585775270498753,0.3529410814309707,0.7241326116406248,29412,0.26024768351942484,0.9999901473830541
Window 2016-2020,lnvalue,DSTOI2,rf,2.9023009813177865,8.816910311812205,0.32917437953627715,0.7420238869791067,21204,0.24851509746966816,0.9999933572119354
Non-CPTPP dest only,lnvalue,DSTOI2,rf,5.778847386590855,5.849664071449277,0.9878938886073714,0.32320461881341744,25612,0.26233368281167235,0.999989729740734
LASSO,lnvalue,DSTOI2,lasso,0.04287445598685008,0.018299466818594044,2.3429347101679188,0.01913273087442824,29792,0.15447310797545188,0.10377457303316806
GB,lnvalue,DSTOI2,gb,0.10389498062660688,0.03921500713077186,2.6493678881695497,0.008064249445039362,29792,0.20242029149617702,0.7773172018016109
NNET,lnvalue,DSTOI2,nnet,0.1521480994278923,0.18699003495417849,0.8136695597986058,0.4158342770469008,29792,0.15263222117106257,0.9865243637046056
K=2,lnvalue,DSTOI2,rf,0.10324179610432813,0.22431795073535937,0.4602475894857311,0.6453385156970248,29792,0.24058416893132817,0.9957267674686004
K=3,lnvalue,DSTOI2,rf,3.565942359199222,3.83856857992971,0.9289771134594448,0.35290094723701104,29792,0.2503197470668218,0.999979402796929
K=5,lnvalue,DSTOI2,rf,-0.10756262001706307,4.0220178338201515,-0.02674344681234271,0.9786643599668656,29792,0.25907243932741686,0.9999869210052681
K=10,lnvalue,DSTOI2,rf,1.4623566435072684,4.719600171115957,0.30984756981256995,0.7566768750433057,29792,0.2647714812809905,0.9999874211396513
