label,y,d,learner,theta,se,t,p,n
(1) DSTOI only,lnexport,dstoi,rf,1.681217894689918,0.46469696934188454,3.6178800500267965,0.0002970259886490023,480
(2) DSTOI + DSTOI^2,lnexport,dstoi,rf,9.031043470753044,5.325273564139094,1.6958834812861001,0.08990794856481243,480
(3) Full controls,lnexport,dstoi,rf,1.6913448925389167,1.2295739380104387,1.375553628987668,0.1689598714567162,480
(4) Full + quadratics,lnexport,dstoi,rf,6.197682782154429,3.730071983341021,1.6615450880932252,0.09660402133097312,480
"CPTPP -> lnexport, no ctrl",lnexport,cptpp_post,rf,0.07787940130124689,0.0921597430107895,0.8450479434619218,0.39808407127919754,480
"CPTPP -> lnexport, full ctrl",lnexport,cptpp_post,rf,0.026447415652031576,0.062065944587749944,0.4261179915604079,0.670021870832739,480
"CPTPP -> DSTOI, no ctrl",dstoi,cptpp_post,rf,0.03605160886555716,0.008793963366961895,4.099585972918617,4.1388990079882504e-05,480
"CPTPP -> DSTOI, full ctrl",dstoi,cptpp_post,rf,0.02910272184028936,0.008088880683923078,3.5978676132696576,0.0003208368436244946,480
"CPTPP -> broadband, no ctrl",fixband_r,cptpp_post,rf,-0.0003313764677157781,0.003639120069084309,-0.09105950378800237,0.9274453102045739,480
"CPTPP -> broadband, ctrls",fixband_r,cptpp_post,rf,0.0005715086715027176,0.003634778461377889,0.15723342634919965,0.87506088551184,480
Drop USA/MEX,lnexport,dstoi,rf,1.8178742983617953,1.286150467298024,1.4134227250881692,0.15753146765563564,464
Window 2016-2020,lnexport,dstoi,rf,2.9027514664833483,1.7161321273230392,1.6914498716432127,0.09075091414018321,300
Non-CPTPP only,lnexport,dstoi,rf,1.6681381639984891,1.3142634485031188,1.2692570625002286,0.20434939505434402,408
"DSTOI (full ctrl), LASSO",lnexport,dstoi,lasso,1.7561836567405835,1.2571082137622471,1.3970027699403171,0.1624127381615572,480
"DSTOI (full ctrl), GB",lnexport,dstoi,gb,1.0879701638845558,1.304578855735366,0.8339627452196349,0.40430197763224096,480
"DSTOI (full ctrl), NNET",lnexport,dstoi,nnet,1.2052034284335882,0.31319283774950496,3.8481193794013993,0.00011902805074814893,480
"CPTPP, LASSO",lnexport,cptpp_post,lasso,0.07669011752042275,0.050181999083116414,1.5282395863385385,0.12645306346876528,480
"CPTPP, GB",lnexport,cptpp_post,gb,-0.04402033687837003,0.0951263234376789,-0.4627566302108746,0.643538821353919,480
"CPTPP, NNET",lnexport,cptpp_post,nnet,0.24519823880558655,0.05497972583066783,4.459793771267123,8.203855400790161e-06,480
K=2,lnexport,dstoi,rf,1.1211350844607424,1.191306004175878,0.941097485054918,0.3466549042431386,480
K=3,lnexport,dstoi,rf,1.7407312116027531,1.2415998506294799,1.4020066213121871,0.1609132694677915,480
K=5,lnexport,dstoi,rf,1.6913448925389167,1.2295739380104387,1.375553628987668,0.1689598714567162,480
K=8,lnexport,dstoi,rf,1.6914402559160104,1.237107782103208,1.3672537513589895,0.17154578256573716,480
K=10,lnexport,dstoi,rf,1.7548151120383892,1.242884970352378,1.411888592989318,0.15798276698990188,480
income=High income,lnexport,dstoi,rf,-0.532952455426901,0.4179387181525673,-1.275192826792248,0.20224099962662323,296
income=Upper middle income,lnexport,dstoi,rf,4.132742092596378,1.5936371824007232,2.5932766493127617,0.009506626519310668,152
region=Europe,lnexport,dstoi,rf,1.7799420378507687,0.7770563198251519,2.290621660797096,0.02198530503590468,232
region=Americas,lnexport,dstoi,rf,0.60944082849924,0.7736216629980905,0.7877763222625065,0.4308275531994643,104
region=Asia,lnexport,dstoi,rf,2.8812696681415915,1.522770702733404,1.8921231298774361,0.05847457722062921,120
